City,Date,Average Temperature,Wind Speed,Precipitation Probability,Condition
Ростов-на-Дону,2024-12-21T07:00:00+03:00,39.0,4.6,2,неблагоприятные
Москва,2024-12-21T07:00:00+03:00,31.0,15.0,40,благоприятные
